1,2049
2,2072
3,2121
4,2111
5,2083
6,2130
7,2170
8,2170
9,2134
10,2076
11,2017
12,2072
13,2061
14,2100
15,2149
16,2130
17,2097
18,2173
19,2230
20,2230
21,2199
22,2124
23,2057
24,2146
25,2161
26,2176
27,2250
28,2212
29,2236
30,2250
31,2299
32,2299
33,2265
34,2210
35,2164
36,2220
37,2233
38,2255
39,2286
40,2258
41,2262
42,2338
43,2362
44,2384
45,2320
46,2281
47,2236
48,2288
49,2292
50,2292
51,2373
52,2371
53,2360
54,2386
55,2422
56,2435
57,2375
58,2324
59,2255
60,2303
61,2310
62,2274
63,2371
64,2356
65,2369
66,2422
67,2480
68,2467
69,2413
70,2360
71,2307
72,2360
73,2384
74,2367
75,2427
76,2430
77,2431
78,2498
79,2561
80,2540
81,2494
82,2438
83,2375
84,2444
85,2453
86,2442
87,2501
88,2496
89,2502
90,2573
91,2616
92,2607
93,2550
94,2486
95,2433
96,2486
97,2498
98,2479
99,2551
100,2542
101,2550
102,2625
103,2667
104,2669
105,2606
106,2540
107,2484
108,2526
109,2531
110,2502
111,2559
112,2542
113,2560
114,2638
115,2691
116,2703
117,2606
118,2555
119,2491
120,2528
121,2556
122,2534
123,2609
124,2598
125,2623
126,2674
127,2739
128,2747
129,2666
130,2610
131,2559
132,2607
133,2640
134,2612
135,2642
136,2684
137,2694
138,2748
139,2814
140,2802
141,2726
142,2684
143,2611
144,2655
